Year,Hard Disk Capacity (TB),Processor Speed (GHz),Price of Computer (Rs)
2020,1.5,3.5,63000
2020,2.0,3.6,65000
2020,2.5,3.7,68000
2020,3.0,3.8,72000
2020,3.5,3.9,75000
2020,4.0,4.0,80000
2020,1.0,3.4,60000
2020,2.5,3.7,71000
2020,3.0,3.8,74000
2020,3.5,3.9,77000
2020,4.0,4.0,82000
2021,2.0,3.6,69000
2021,2.5,3.7,72000
2021,3.0,3.9,76000
2021,3.5,4.0,79000
2021,4.0,4.1,84000
2021,2.5,3.8,74000
2021,3.0,3.9,77000
2021,3.5,4.0,81000
2021,4.0,4.2,86000
2021,2.0,3.7,70000
2021,2.5,3.8,73000
2021,3.0,4.0,78000
2021,3.5,4.1,82000
2022,2.0,3.7,71000
2022,2.5,3.9,75000
2022,3.0,4.0,80000
2022,3.5,4.1,84000
2022,4.0,4.2,89000
2022,2.0,3.8,72000
2022,2.5,3.9,76000
2022,3.0,4.1,81000
2022,3.5,4.2,85000
2022,4.0,4.3,90000
2022,2.5,3.8,74000
2022,3.0,4.0,79000
2022,3.5,4.2,83000
2022,4.0,4.3,88000
2022,2.0,3.9,73000
2022,2.5,4.0,78000
2023,3.0,4.2,82000
2023,3.5,4.3,87000
2023,4.0,4.4,92000
2023,4.5,4.5,97000
2023,5.0,4.6,102000
2023,3.0,4.1,81000
2023,3.5,4.3,86000
2023,4.0,4.4,91000
2023,4.5,4.5,96000
2023,5.0,4.7,103000
2023,3.0,4.1,80000
2023,3.5,4.2,85000
2023,4.0,4.4,90000
2023,4.5,4.5,95000
2023,5.0,4.6,100000
2023,3.5,4.3,88000
2023,4.0,4.4,93000
2023,4.5,4.5,98000
2023,5.0,4.7,105000
2024,4.0,4.5,95000
2024,4.5,4.6,100000
2024,5.0,4.7,105000
2024,5.5,4.8,110000
2024,6.0,5.0,115000
2024,4.5,4.6,98000
2024,5.0,4.7,103000
2024,5.5,4.8,108000
2024,6.0,4.9,112000
2024,6.5,5.1,120000
2024,4.5,4.5,97000
2024,5.0,4.7,102000
2024,5.5,4.8,107000
2024,6.0,4.9,114000
2024,6.5,5.1,118000
2024,4.0,4.5,95000
2024,4.5,4.6,99000
2024,5.0,4.7,104000
2024,5.5,4.9,110000
2024,6.0,5.0,115000
2024,4.5,4.6,98000
2024,5.0,4.7,103000
2024,5.5,4.8,108000
2024,6.0,4.9,113000
2024,6.5,5.1,119000
2020,1.5,3.6,64000
2020,2.0,3.7,67000
2020,2.5,3.8,70000
2020,3.0,3.9,73000
2020,3.5,4.0,76000
2020,1.0,3.3,59000
2021,1.5,3.5,62000
2021,2.0,3.6,65000
2022,3.0,4.1,82000
2022,4.0,4.4,87000
2023,4.5,4.6,97000
2023,5.0,4.8,105000
2024,6.0,5.2,125000
2024,6.5,5.3,130000
2024,5.5,5.0,115000
2024,7.0,5.4,135000
