x1,x2,class,predicted
assistant professor,23,yes,yes
professor,13,no,no
professor,8,yes,yes
assistant professor,13,no,yes
assistant professor,6,yes,yes
professor,19,no,yes
assistant professor,22,no,no
assistant professor,9,yes,yes
professor,12,yes,yes
professor,9,yes,yes
assistant professor,15,yes,no
professor,16,no,no
professor,13,no,no
professor,11,no,no
assistant professor,25,yes,no
assistant professor,12,no,no
assistant professor,20,yes,yes
professor,14,yes,yes
assistant professor,8,yes,yes
professor,10,yes,yes
assistant professor,9,yes,no
professor,14,yes,yes
professor,5,no,no
assistant professor,9,no,no
professor,12,yes,yes
assistant professor,19,yes,yes
assistant professor,13,yes,yes
professor,12,yes,yes
professor,19,yes,yes
assistant professor,7,yes,yes
assistant professor,14,yes,yes
assistant professor,21,no,no
professor,13,yes,yes
assistant professor,24,yes,yes
assistant professor,17,yes,yes
professor,20,no,no
professor,14,no,no
professor,7,no,no
assistant professor,25,no,no
assistant professor,23,no,no
assistant professor,25,no,no
assistant professor,25,yes,yes
assistant professor,22,no,no
professor,25,no,no
professor,25,no,no
assistant professor,23,no,no
professor,5,no,no
professor,6,no,no
professor,21,yes,yes
assistant professor,20,no,no
professor,5,no,no
professor,7,no,no
assistant professor,21,no,no
assistant professor,25,no,no
professor,19,no,no
assistant professor,12,no,no
professor,14,yes,yes
professor,12,yes,yes
professor,25,yes,yes
assistant professor,19,no,no
assistant professor,12,yes,yes
professor,12,yes,yes
assistant professor,21,yes,yes
professor,17,yes,yes
professor,9,yes,yes
assistant professor,9,no,no
assistant professor,24,no,no
assistant professor,21,no,no
assistant professor,6,yes,yes
professor,11,yes,yes
professor,6,yes,yes
professor,14,no,no
professor,6,yes,yes
assistant professor,21,yes,yes
assistant professor,23,no,no
assistant professor,23,no,no
assistant professor,23,no,no
professor,20,no,no
assistant professor,11,no,no
assistant professor,22,no,no
professor,6,yes,yes
assistant professor,14,no,no
assistant professor,19,yes,yes
professor,13,no,no
professor,23,yes,yes
professor,9,yes,yes
assistant professor,19,no,no
assistant professor,21,no,no
assistant professor,17,no,yes
assistant professor,17,yes,yes
professor,25,no,no
professor,13,no,yes
professor,22,no,no
professor,20,yes,yes
assistant professor,8,yes,yes
professor,20,yes,yes
professor,9,no,no
professor,24,yes,yes
assistant professor,14,no,no
assistant professor,19,no,no
